epoch,train_loss,train_acc,val_loss,val_acc
0,1.018467665308773,0.485330836454432,0.5002106714707154,0.8179551122194514
1,0.06459752618785289,0.9784644194756554,0.000324779116803816,1.0
2,0.00020300575852161273,1.0,0.0001524984360842679,1.0
3,0.0001079344515121625,1.0,9.185529247938226e-05,1.0
4,6.683299632118853e-05,1.0,5.9117155615240335e-05,1.0
5,4.44923645034686e-05,1.0,4.050086870567891e-05,1.0
6,3.135683170449459e-05,1.0,2.9136415063336383e-05,1.0
7,2.3115456126178475e-05,1.0,2.1765281592077092e-05,1.0
8,1.761208968313404e-05,1.0,1.692327773875709e-05,1.0
9,1.3875391250441662e-05,1.0,1.3435327935859767e-05,1.0
10,1.109796946393274e-05,1.0,1.0933233957425378e-05,1.0
11,9.142689037562917e-06,1.0,9.05492858622053e-06,1.0
12,7.593551835820072e-06,1.0,7.602816612444048e-06,1.0
13,6.434630197665935e-06,1.0,6.456871329436791e-06,1.0
14,5.4852831309821485e-06,1.0,5.525329522872478e-06,1.0
15,4.697257868248907e-06,1.0,4.7642391266960585e-06,1.0
16,4.0948279034313205e-06,1.0,4.149021527574894e-06,1.0
17,3.5769592384462843e-06,1.0,3.628669988896805e-06,1.0
18,3.1330299443292427e-06,1.0,3.204009116276351e-06,1.0
19,2.770271007670774e-06,1.0,2.83907043187635e-06,1.0
20,2.4786161034036454e-06,1.0,2.533137608050031e-06,1.0
21,2.2126469836017924e-06,1.0,2.263523889758709e-06,1.0
22,1.980440830752426e-06,1.0,2.0299687964080267e-06,1.0
23,1.782108751789979e-06,1.0,1.827469414085779e-06,1.0
24,1.6127599924222506e-06,1.0,1.6524786238173524e-06,1.0
25,1.4539826456667011e-06,1.0,1.489533491831725e-06,1.0
26,1.3166990483888626e-06,1.0,1.3480328085244344e-06,1.0
27,1.1938015189111912e-06,1.0,1.231660335703894e-06,1.0
28,1.0913847132083038e-06,1.0,1.12401151524794e-06,1.0
29,9.959666890113518e-07,1.0,1.0303503450778896e-06,1.0
30,9.126706229403455e-07,1.0,9.418717686807772e-07,1.0
31,8.346567729332302e-07,1.0,8.668452649702046e-07,1.0
32,7.65489250055691e-07,1.0,7.94452284061173e-07,1.0
33,7.02882924387457e-07,1.0,7.264475232642116e-07,1.0
34,6.685276954419468e-07,1.0,6.704257476013271e-07,1.0
35,5.964457294353316e-07,1.0,6.152753334513013e-07,1.0
36,5.496660408241068e-07,1.0,5.703039512092381e-07,1.0
37,5.075378201937464e-07,1.0,5.222493403887431e-07,1.0
38,4.678196291078535e-07,1.0,4.819800796422686e-07,1.0
39,4.358676941837804e-07,1.0,4.4963687884091996e-07,1.0
40,4.018450351174966e-07,1.0,4.1580062661348796e-07,1.0
41,3.7430512146320415e-07,1.0,3.8924215754849894e-07,1.0
42,3.4671046998847476e-07,1.0,3.6228660440848705e-07,1.0
43,3.2402183146497e-07,1.0,3.373509089171351e-07,1.0
44,3.0097274066178e-07,1.0,3.141316764317008e-07,1.0
45,2.7585611485729975e-07,1.0,2.8738318255031675e-07,1.0
46,2.581224318907633e-07,1.0,2.705827865357745e-07,1.0
47,2.4050992319396505e-07,1.0,2.5144861591177056e-07,1.0
48,2.214825538021164e-07,1.0,2.314233036315727e-07,1.0
49,2.0515046267267073e-07,1.0,2.1555459229515552e-07,1.0
50,1.912964878604361e-07,1.0,2.0178131794505833e-07,1.0
51,1.784334086513953e-07,1.0,1.8536770614201276e-07,1.0
52,1.6807164469848502e-07,1.0,1.7246337144718802e-07,1.0
53,1.5337845788602826e-07,1.0,1.588217344306031e-07,1.0
54,1.4304991145426096e-07,1.0,1.499546497230907e-07,1.0
55,1.3338477506666473e-07,1.0,1.3934307219187758e-07,1.0
56,1.2702459088976153e-07,1.0,1.3078320115766928e-07,1.0
57,1.145112158055646e-07,1.0,1.212109092071282e-07,1.0
58,1.0753042158345881e-07,1.0,1.1260350013104086e-07,1.0
59,9.881620012461976e-08,1.0,1.0462262495663639e-07,1.0
60,9.26575034784469e-08,1.0,9.800653389701299e-08,1.0
61,8.590405387691801e-08,1.0,9.098595032952517e-08,1.0
62,7.966042371837677e-08,1.0,8.456109050587639e-08,1.0
63,7.504071027930273e-08,1.0,7.857976997299305e-08,1.0
64,6.860190864661981e-08,1.0,7.27237674183265e-08,1.0
65,6.377739834161136e-08,1.0,6.834849011547398e-08,1.0
66,5.9396368219872425e-08,1.0,6.467347030563859e-08,1.0
67,5.51714596824408e-08,1.0,6.052450438267861e-08,1.0
68,5.202860167779219e-08,1.0,5.648239568364269e-08,1.0
69,4.813315788627472e-08,1.0,5.363463393073595e-08,1.0
70,4.389473122932603e-08,1.0,5.0764313880718575e-08,1.0
71,4.1304174056808554e-08,1.0,4.8168148683367043e-08,1.0
72,4.04433027969421e-08,1.0,4.538607296826587e-08,1.0
73,3.573061427808773e-08,1.0,4.196590276992997e-08,1.0
74,3.3445600797128154e-08,1.0,3.961539829511196e-08,1.0
75,3.155806027940222e-08,1.0,3.613405197278041e-08,1.0
76,2.939391421133062e-08,1.0,3.428749532160461e-08,1.0
77,2.729445607703646e-08,1.0,3.01659179857694e-08,1.0
78,2.5590705031400675e-08,1.0,2.80924369407879e-08,1.0
79,2.40879665894668e-08,1.0,2.6390921021173924e-08,1.0
80,2.2649545882389345e-08,1.0,2.4604497738368334e-08,1.0
81,2.2642383732528262e-08,1.0,2.2922391728331402e-08,1.0
82,1.9928838775038066e-08,1.0,2.185498395932064e-08,1.0
83,1.778572739910638e-08,1.0,2.0359082300367085e-08,1.0
84,1.6927813914079064e-08,1.0,1.8824323757890774e-08,1.0
85,1.6108561257165984e-08,1.0,1.791072280231932e-08,1.0
86,1.5061809911498634e-08,1.0,1.716313759490508e-08,1.0
87,1.4149006336198497e-08,1.0,1.5793756661471782e-08,1.0
88,1.3227685758613405e-08,1.0,1.5016196850062066e-08,1.0
89,1.2456194995150464e-08,1.0,1.4361080102887058e-08,1.0
90,1.1880808539397566e-08,1.0,1.4177047279718435e-08,1.0
91,1.112877820260408e-08,1.0,1.3349576128290481e-08,1.0
92,1.0469682806082051e-08,1.0,1.2419426171233612e-08,1.0
93,9.675710178064289e-09,1.0,1.175214141386942e-08,1.0
94,9.36906351180912e-09,1.0,1.0859791237212317e-08,1.0
95,8.643760956719676e-09,1.0,9.666577162657465e-09,1.0
96,8.569295754838187e-09,1.0,9.134779855612097e-09,1.0
97,7.295517633354344e-09,1.0,7.610582693965503e-09,1.0
98,6.544034964082751e-09,1.0,6.836602847939752e-09,1.0
99,5.920528138155064e-09,1.0,5.95398616734308e-09,1.0
100,5.514635199533428e-09,1.0,5.500063754864798e-09,1.0
101,5.0319660781407026e-09,1.0,5.3641188670392985e-09,1.0
102,4.574640793787982e-09,1.0,4.848789105270048e-09,1.0
103,4.311657699740621e-09,1.0,4.675763818863852e-09,1.0
104,3.792991454474337e-09,1.0,4.7104132304089426e-09,1.0
105,3.611167516830064e-09,1.0,4.355709135253414e-09,1.0
106,3.6754939729829934e-09,1.0,4.170722596345929e-09,1.0
107,2.9064966868918248e-09,1.0,3.6874427357712025e-09,1.0
108,2.7012714133729675e-09,1.0,3.1988352650485625e-09,1.0
109,2.589329421943005e-09,1.0,2.8805134858563757e-09,1.0
110,2.348119296362319e-09,1.0,2.8805134858563757e-09,1.0
111,2.321278927051271e-09,1.0,2.38401206468316e-09,1.0
112,2.030350081680316e-09,1.0,2.38401206468316e-09,1.0
113,1.7837503773273567e-09,1.0,2.38401206468316e-09,1.0
114,2.1593655796352484e-09,1.0,2.38401206468316e-09,1.0
115,1.4921408948915408e-09,1.0,2.197416522246971e-09,1.0
116,1.5355546185526575e-09,1.0,2.38401206468316e-09,1.0
117,1.853369262241751e-09,1.0,2.197416522246971e-09,1.0
118,1.3795831407952e-09,1.0,2.0152742893268045e-09,1.0
119,1.2900523927433848e-09,1.0,1.6582159577073805e-09,1.0
120,1.3294936526823966e-09,1.0,1.5021039455011584e-09,1.0
121,1.2069474792534912e-09,1.0,1.6582159577073805e-09,1.0
122,1.0372448818443872e-09,1.0,1.3171174065936735e-09,1.0
123,1.1720863597618052e-09,1.0,1.1787414634111515e-09,1.0
124,1.0339849614579484e-09,1.0,1.3171174065936735e-09,1.0
125,9.777232071266637e-10,1.0,9.970626888225262e-10,1.0
126,1.024937329727221e-09,1.0,9.970626888225262e-10,1.0
127,1.0382782378634025e-09,1.0,9.970626888225262e-10,1.0
128,9.97315658000669e-10,1.0,8.153839142339009e-10,1.0
129,9.142479776536369e-10,1.0,8.153839142339009e-10,1.0
130,7.901753684812507e-10,1.0,9.403812173403026e-10,1.0
131,9.402504605487697e-10,1.0,8.153839142339009e-10,1.0
132,9.445031511576742e-10,1.0,8.153839142339009e-10,1.0
133,7.680912583630783e-10,1.0,7.503695357376964e-10,1.0
134,1.107940683092668e-09,1.0,8.153839142339009e-10,1.0
135,9.31213816728294e-10,1.0,9.403812173403026e-10,1.0
136,1.1163189382780037e-09,1.0,1.0763261051658026e-09,1.0
137,1.0352974891022747e-09,1.0,7.503695357376964e-10,1.0
138,1.2478494893052316e-09,1.0,7.503695357376964e-10,1.0
139,1.2427420786612048e-09,1.0,2.76257196605802e-10,1.0
140,1.0825138893088786e-09,1.0,4.012544997122037e-10,1.0
141,1.1494022807242026e-09,1.0,5.773440699877815e-10,1.0
142,9.818370407128784e-10,1.0,5.773440699877815e-10,1.0
143,1.0012417429803432e-09,1.0,4.523467668813798e-10,1.0
144,1.310461121355862e-09,1.0,1.268110795858381e-09,1.0
145,2.843944927739913e-09,1.0,6.3977165104106986e-09,1.0
146,0.13644570855593477,0.9722222222222222,1.173415078553192e-05,1.0
147,5.6672318142950015e-05,1.0,3.1182358438942316e-07,1.0
148,1.1710241112987971e-07,1.0,6.14977063461398e-08,1.0
149,5.939987163525201e-08,1.0,6.131271982431267e-08,1.0
150,4.509679388116347e-08,1.0,1.8740103930197776e-08,1.0
151,6.66783257430963e-09,1.0,2.5043620339897208e-09,1.0
152,3.493317246033801e-09,1.0,2.9374648440157083e-09,1.0
153,2.537700034708894e-09,1.0,2.876044445334112e-10,1.0
154,1.1645875704935031e-09,1.0,0.0,1.0
155,2.2788458468993452e-10,1.0,0.0,1.0
156,0.0,1.0,0.0,1.0
157,0.0,1.0,0.0,1.0
158,0.0,1.0,0.0,1.0
159,0.0,1.0,0.0,1.0
160,0.0,1.0,0.0,1.0
161,0.0,1.0,0.0,1.0
162,0.4915399380591447,0.9057428214731585,0.06742607802152634,1.0
163,0.007156369463646655,1.0,0.0010448051104434014,1.0
164,0.0007511318737922218,1.0,0.0005213846043961195,1.0
165,0.00043086072667455764,1.0,0.0003332796569828553,1.0
166,0.00029086977451472625,1.0,0.00023822623636358633,1.0
167,0.00021508738002624583,1.0,0.0001813330535906761,1.0
168,0.00016514251343539968,1.0,0.00014337739524377795,1.0
169,0.00013326784341692886,1.0,0.00011752675947298904,1.0
170,0.0001111030212654225,1.0,9.823694983004735e-05,1.0
171,9.305546088155709e-05,1.0,8.331656275773779e-05,1.0
172,7.902574084300345e-05,1.0,7.175081645982573e-05,1.0
173,6.886999529675756e-05,1.0,6.251805343009227e-05,1.0
174,6.019876788498253e-05,1.0,5.485288133618619e-05,1.0
175,5.296601645595459e-05,1.0,4.8531128973431456e-05,1.0
176,4.6958763878948126e-05,1.0,4.3182666559005156e-05,1.0
177,4.195871768406325e-05,1.0,3.869743148663054e-05,1.0
178,3.767009711917144e-05,1.0,3.481825982677177e-05,1.0
179,3.382593299963023e-05,1.0,3.1450786396957344e-05,1.0
180,3.060476642936505e-05,1.0,2.8557863340840693e-05,1.0
181,2.7909715727489157e-05,1.0,2.601316607699398e-05,1.0
182,2.520385588594412e-05,1.0,2.373375089239114e-05,1.0
183,2.3275686148150667e-05,1.0,2.1738919293476592e-05,1.0
184,2.1193347249821517e-05,1.0,1.994078365896712e-05,1.0
185,1.9514833994516364e-05,1.0,1.8339519766204132e-05,1.0
186,1.794763728966164e-05,1.0,1.6900720346222024e-05,1.0
187,1.651455901389121e-05,1.0,1.5612841707479674e-05,1.0
188,1.5334722802165715e-05,1.0,1.4451058842286539e-05,1.0
189,1.412388715690744e-05,1.0,1.3382445034109809e-05,1.0
190,1.3016825495343606e-05,1.0,1.24276845186754e-05,1.0
191,1.2210673462910149e-05,1.0,1.1556592093816456e-05,1.0
192,1.131365934270434e-05,1.0,1.0738620770867923e-05,1.0
193,1.0540929789646841e-05,1.0,1.0002022411124646e-05,1.0
194,9.810783530435338e-06,1.0,9.319947541651065e-06,1.0
195,9.151682850570789e-06,1.0,8.693176333998474e-06,1.0
196,8.536341711348568e-06,1.0,8.10777443733129e-06,1.0
